Date,Open,High,Low,Close,Volume
2024-11-08,590.67,618.18,588.94,608.03,3632550
2024-11-11,608.03,627.93,605.58,617.62,2363837
2024-11-12,616.3,632.53,612.62,631.81,2302381
2024-11-13,631.81,653.66,631.81,652.13,2889249
2024-11-14,655.5,656.21,639.47,640.39,2071396
2024-11-15,640.39,643.04,631.66,637.22,2245571
2024-11-18,637.53,641.31,631.2,631.61,1448347
2024-11-19,631.61,631.61,618.64,620.69,1741742
2024-11-20,620.28,622.32,608.64,616.4,1573524
2024-11-21,616.4,621.04,615.89,617.32,1331496
2024-11-22,616.96,621.6,614.15,616.19,1488333
2024-11-25,616.19,635.18,616.19,619.36,2848777
2024-11-26,619.66,628.34,616.19,626.91,2132677
2024-11-27,626.91,633.6,624.46,625.28,1438022
2024-11-29,625.28,637.12,622.83,633.55,988154
2024-12-02,633.55,638.86,626.91,631.0,1874746
2024-12-03,631.0,636.0,620.58,627.63,2099363
2024-12-04,627.63,638.04,627.47,630.49,1795243
2024-12-05,632.83,633.4,625.38,626.81,1524787
2024-12-06,651.72,658.58,621.66,624.05,2207038
2024-12-09,624.05,633.85,623.03,628.55,1811176
2024-12-10,628.85,631.51,624.16,628.75,1591127
2024-12-11,632.22,634.26,626.61,626.71,1583093
2024-12-12,629.36,632.43,619.97,622.11,1792956
2024-12-13,621.09,630.08,619.46,623.44,1326529
2024-12-16,621.2,622.63,608.03,608.44,1781750
2024-12-17,604.96,612.67,602.41,604.86,1645420
2024-12-18,604.86,608.23,595.06,595.37,1731082
2024-12-19,596.59,601.49,593.02,598.74,1437276
2024-12-20,598.74,606.75,594.81,605.78,4913480
2024-12-23,605.78,605.78,591.28,597.92,1532789
2024-12-24,596.39,601.39,594.4,598.23,737844
2024-12-26,598.23,598.28,593.94,595.37,1131379
2024-12-27,595.37,596.9,587.1,590.26,966937
2024-12-30,588.83,589.75,579.49,580.67,1362072
2024-12-31,581.38,588.32,581.38,585.16,928477
2025-01-02,585.16,591.39,582.2,583.93,954692
2025-01-03,583.93,583.93,556.88,564.23,3209103
2025-01-06,564.23,578.62,564.23,571.28,1805694
2025-01-07,574.95,578.52,563.21,563.42,1410048
2025-01-08,563.42,568.52,559.03,567.5,1505318
2025-01-10,567.5,567.5,532.89,535.34,2681564
2025-01-13,535.34,551.9,529.93,549.33,2067099
2025-01-14,549.84,555.45,546.37,553.21,1675955
2025-01-15,553.21,562.6,553.21,556.07,1556116
2025-01-16,556.42,562.04,551.42,561.27,1484685
2025-01-17,561.27,566.78,558.82,563.82,1944811
2025-01-21,563.82,569.64,563.77,569.03,1620783
2025-01-22,569.03,569.03,559.74,560.25,1350453
2025-01-23,560.25,561.27,549.94,551.68,1529741
2025-01-24,551.68,565.66,551.68,563.11,1707090
2025-01-27,569.54,583.42,569.54,578.42,1991691
2025-01-28,576.69,576.69,559.23,560.45,1498342
2025-01-29,561.27,566.94,559.33,560.97,1233622
2025-01-30,565.66,569.34,557.49,563.82,1062986
2025-01-31,560.25,567.7,558.21,558.92,1497606
2025-02-03,558.92,558.92,538.3,545.04,1485709
2025-02-04,545.04,545.14,538.61,540.55,1248886
2025-02-05,543.51,545.14,538.3,543.92,1291194
2025-02-06,543.92,557.09,543.92,554.84,1844316
2025-02-07,554.84,559.38,550.25,553.92,1721684
2025-02-10,554.33,554.33,544.63,547.69,2012049
2025-02-11,547.69,553.31,541.26,551.27,1931934
2025-02-12,556.17,556.17,538.46,545.65,4274742
2025-02-13,545.65,601.39,545.65,597.61,6116511
2025-02-14,597.61,617.62,597.61,616.19,3271706
2025-02-18,616.19,619.87,605.37,618.95,2888723
2025-02-19,618.13,618.13,605.47,613.95,2638119
2025-02-20,613.95,618.13,607.41,616.6,1730145
2025-02-21,616.6,621.96,611.29,615.89,2169267
2025-02-24,615.89,628.34,609.15,624.77,2345930
2025-02-25,624.77,630.18,615.58,620.89,2827929
2025-02-26,623.44,634.16,621.04,633.55,3105776
2025-02-27,630.59,633.24,622.32,628.24,2175149
2025-02-28,628.24,634.67,617.73,625.69,3533516
2025-03-03,625.69,631.2,621.6,625.69,1707982
2025-03-04,621.3,626.2,607.26,608.23,2473914
2025-03-05,609.15,612.52,597.92,605.37,2449939
2025-03-06,605.37,609.0,598.74,606.39,1500072
2025-03-07,603.94,638.96,603.94,631.51,3101003
2025-03-10,631.51,659.78,631.51,642.23,3410562
2025-03-11,644.42,645.62,613.34,616.6,3141857
2025-03-12,612.52,615.17,603.02,606.19,1689867
2025-03-13,608.03,610.78,599.45,599.86,1917233
2025-03-14,599.86,611.6,599.86,608.64,1666676
2025-03-17,608.64,615.84,603.18,606.09,2242316
2025-03-18,604.86,607.36,599.96,601.7,1921870
2025-03-19,599.66,599.66,589.24,595.06,2245811
2025-03-20,594.65,609.35,594.65,602.21,3165349
2025-03-21,602.21,612.42,596.7,601.19,8355748
2025-03-24,601.19,607.11,596.8,605.07,1929724
2025-03-25,604.35,605.68,595.47,599.86,1295265
2025-03-26,601.24,619.66,600.52,618.24,1969642
2025-03-27,619.15,623.14,615.84,622.32,1548231
2025-03-28,623.85,626.1,615.07,617.93,1594320
2025-03-31,617.93,629.67,616.3,621.4,1984254
2025-04-01,623.54,626.2,614.15,625.18,1794602
2025-04-02,628.04,635.34,620.79,632.43,1622189
2025-04-03,630.49,648.25,627.42,637.63,4413259
2025-04-04,635.85,643.96,622.11,624.26,3780107
2025-04-07,624.26,634.57,603.96,616.19,3220944
2025-04-08,627.63,634.37,590.37,597.31,3171580
2025-04-09,590.67,628.95,589.96,618.44,3625668
2025-04-10,613.44,624.51,599.81,612.01,1873116
2025-04-11,610.27,622.01,599.86,619.56,2582979
2025-04-14,619.56,625.59,614.66,619.26,1563147
2025-04-15,620.48,621.76,603.84,607.52,3556234
2025-04-16,607.52,621.09,598.53,599.35,1893121
2025-04-17,605.17,609.46,599.15,599.76,1549253
2025-04-21,598.33,598.33,579.03,591.39,1914966
2025-04-22,597.31,605.99,595.32,602.31,1714474
2025-04-23,604.25,607.62,591.39,599.25,2052269
2025-04-24,598.02,598.74,591.59,595.67,1296339
2025-04-25,595.67,596.19,574.95,579.85,2273037
2025-04-28,581.48,587.1,576.18,578.83,1519967
2025-04-29,578.83,582.71,572.4,582.51,1734561
2025-04-30,586.44,588.27,576.38,587.3,2425473
2025-05-01,587.51,590.26,581.54,584.45,1701247
2025-05-02,590.01,592.2,585.72,587.61,1859805
2025-05-05,587.61,590.06,581.89,586.38,1785193
2025-05-06,580.46,584.29,576.89,580.87,1995635
2025-05-07,583.07,586.08,577.09,580.26,3406349
2025-05-08,534.42,562.63,521.87,553.92,6871028
2025-05-09,551.27,565.87,551.27,557.7,3314463
2025-05-12,563.72,567.8,553.51,560.97,4661223
2025-05-13,560.97,567.35,558.31,563.31,3421478
2025-05-14,563.31,569.03,560.77,566.48,3284461
2025-05-15,567.5,577.04,567.5,574.44,3116952
2025-05-16,576.13,580.57,573.73,580.36,2228602
2025-05-19,580.36,581.38,571.48,577.91,2668004
2025-05-20,576.69,587.61,576.69,581.38,2616606
2025-05-21,580.06,580.06,565.66,568.01,3272074
2025-05-22,565.87,568.52,553.31,554.43,3318773
2025-05-23,551.57,556.58,549.02,551.37,2179244
2025-05-27,551.37,556.12,549.74,553.21,2520886
2025-05-28,551.78,553.05,540.14,540.65,2980257
2025-05-29,540.65,549.33,534.42,548.2,2623395
2025-05-30,547.9,549.74,543.1,547.08,3500586
2025-06-02,547.08,547.08,533.4,539.73,2115993
2025-06-03,539.73,540.75,527.68,538.71,2401862
2025-06-04,538.71,543.81,535.04,538.71,1907598
2025-06-05,538.1,538.1,526.36,529.42,2937373
2025-06-06,531.77,531.77,525.64,530.85,1910668
2025-06-09,531.77,533.71,528.14,531.87,2395488
2025-06-10,531.97,536.36,529.17,532.99,1610787
2025-06-11,532.99,533.2,526.15,528.4,2004227
2025-06-12,528.4,528.4,522.38,525.95,1815494
2025-06-13,523.19,525.64,514.72,516.46,1993774
2025-06-16,516.46,520.28,503.9,506.55,2836013
2025-06-17,505.63,510.94,503.24,503.69,2987295
2025-06-18,503.69,509.11,497.72,498.28,3014025
2025-06-20,499.92,500.68,488.38,490.53,4635442
2025-06-23,490.53,493.49,483.99,490.53,2881141
2025-06-24,491.85,497.57,489.5,492.26,2824806
2025-06-25,488.38,490.63,480.32,482.26,2772521
2025-06-26,484.09,491.55,481.75,482.26,2633529
2025-06-27,480.11,485.73,479.19,484.3,3321560
